timestamp,market,side,price,qty,fee,cash_after,position_qty_after,realized_pnl,reason
2026-04-26T10:30:38.332880+00:00,KRW-RAY,buy,1178.58900000,67.843836994915,40.00000000,920000.00000000,67.843836994915,0.00000000,uptrend filter passed; momentum 1.03%; volume 1.69x; expected upside 3.00%; RSI 55.5; above EMA200; BTC momentum 0.01%; BTC volatility 0.02%; fear-greed 33 Fear; BTC tx 707810; global cap 24h 0.23%; BTC dominance 58.17%; selected from top-volume scan
2026-04-26T10:50:11.690429+00:00,KRW-RAY,sell,1187.40600000,67.843836994915,40.27908956,1000517.90002123,0.000000000000,557.90002123,trend break
2026-04-26T20:10:11.615036+00:00,KRW-ORCA,buy,2041.02000000,65.787551767209,67.17043967,866177.02067365,65.787551767209,0.00000000,range rebound setup: bounce 0.34%; distance from low 0.74%; volume 1.18x; expected upside 2.16%; RSI 53.7; EMA gap 2.76%; BTC momentum -0.03%; BTC volatility 0.21%; fear-greed 33 Fear; BTC tx 730803; global cap 24h 1.04%; BTC dominance 58.10%; selected from top-volume scan
2026-04-26T20:54:00.548933+00:00,KRW-ORCA,sell,2091.95350000,32.893775883605,34.40612479,934954.86413677,32.893775883605,1640.98900917,partial take profit reached: 2.55%
2026-04-26T20:54:01.237919+00:00,KRW-ORCA,sell,2091.95350000,32.893775883605,34.40612479,1003732.70759990,0.000000000000,1640.98900917,take profit reached: 2.55%
2026-04-26T21:30:48.491282+00:00,KRW-INJ,buy,5592.79500000,35.875831002070,100.37327076,802986.16607992,35.875831002070,0.00000000,uptrend filter passed; momentum 0.36%; volume 1.26x; expected upside 2.06%; RSI 70.6; above EMA200; BTC momentum -0.05%; BTC volatility 0.09%; fear-greed 33 Fear; BTC tx 721275; global cap 24h 1.03%; BTC dominance 58.11%; selected from top-volume scan
2026-04-26T21:46:44.969587+00:00,KRW-INJ,sell,5562.21750000,35.875831002070,99.77458751,1002435.56651916,0.000000000000,-1196.76780998,trend break
2026-04-28T04:02:51.950117+00:00,KRW-ZBT,buy,307.15350000,368.668628364872,56.64725340,889141.05972330,368.668628364872,0.00000000,uptrend filter passed; momentum 1.32%; volume 1.43x; expected upside 3.00%; RSI 65.0; above EMA200; BTC momentum -0.03%; BTC volatility 0.09%; fear-greed 33 Fear; BTC tx 570612; global cap 24h -2.69%; BTC dominance 58.09%; selected from top-volume scan
2026-04-28T04:47:13.162900+00:00,KRW-ZBT,sell,317.84100000,184.334314182436,29.29450138,947700.76797598,184.334314182436,1940.77848145,partial take profit reached: 3.53%
2026-04-28T04:47:14.171111+00:00,KRW-ZBT,sell,317.84100000,184.334314182436,29.29450138,1006260.47622866,0.000000000000,1940.77848145,take profit reached: 3.53%
2026-04-28T09:46:16.080216+00:00,KRW-ZBT,buy,328.16400000,402.704948179437,66.10968815,874041.09992615,402.704948179437,0.00000000,uptrend filter passed; momentum 2.82%; volume 1.73x; expected upside 3.00%; RSI 69.6; above EMA200; BTC momentum 0.00%; BTC volatility 0.12%; fear-greed 33 Fear; BTC tx 665752; global cap 24h -1.38%; BTC dominance 58.08%; selected from top-volume scan
2026-04-28T09:57:04.457210+00:00,KRW-ZBT,sell,324.83750000,402.704948179437,65.40683430,1004789.36169609,0.000000000000,-1405.00484442,"time stop reached: held 12 ticks, pnl -0.96%"
2026-04-28T10:37:42.539617+00:00,KRW-ORCA,buy,2366.18250000,72.304899135411,85.58608654,833617.18861107,72.304899135411,0.00000000,range rebound setup: bounce 0.34%; distance from low 1.15%; volume 1.13x; expected upside 3.00%; RSI 41.6; EMA gap -1.11%; BTC momentum 0.04%; BTC volatility 0.13%; fear-greed 33 Fear; BTC tx 639104; global cap 24h -1.42%; BTC dominance 58.05%; selected from top-volume scan
2026-04-28T11:28:06.151089+00:00,KRW-ORCA,sell,2402.79800000,36.152449567706,43.43351676,920440.78861070,36.152449567706,1280.30650039,partial take profit reached: 1.60%
2026-04-28T11:28:07.034816+00:00,KRW-ORCA,sell,2401.79850000,36.152449567706,43.41544957,1007228.27230417,0.000000000000,1244.19019423,take profit reached: 1.56%
2026-04-28T12:18:29.036337+00:00,KRW-TOKAMAK,buy,813.40650000,210.744003813983,85.75314784,835721.97661800,210.744003813983,0.00000000,range rebound setup: bounce 0.25%; distance from low 0.99%; volume 1.02x; expected upside 3.00%; RSI 56.0; EMA gap -1.55%; BTC momentum -0.02%; BTC volatility 0.18%; fear-greed 33 Fear; BTC tx 626147; global cap 24h -1.38%; BTC dominance 57.98%; selected from top-volume scan
2026-04-28T15:42:30.748058+00:00,KRW-TOKAMAK,sell,801.59900000,210.744003813983,84.46609136,1004569.69323993,0.000000000000,-2572.82591639,stop loss reached: -1.40%
2026-04-28T20:59:18.394971+00:00,KRW-ORCA,buy,2491.24500000,66.924214081610,83.40400886,837761.67552133,66.924214081610,0.00000000,range rebound setup: bounce 0.48%; distance from low 0.48%; volume 1.29x; expected upside 2.41%; RSI 40.7; EMA gap -1.14%; BTC momentum 0.00%; BTC volatility 0.04%; fear-greed 33 Fear; BTC tx 574182; global cap 24h -0.44%; BTC dominance 57.98%; selected from top-volume scan
2026-04-28T20:59:21.241576+00:00,KRW-ORCA,sell,2484.75700000,66.924214081610,83.14520470,1003968.93972541,0.000000000000,-517.34950567,trend break
